feature,n_nan,n_inf,min,max,mean,std,near_constant
sharp_laplacian_var,0,0,1.020528142650922,64110.2031593418,3250.3594732944584,6864.002741312117,False
sharp_laplacian_var_norm,0,0,1.8311550763616925e-05,16.062027542702037,0.45695947060983333,1.1226025652089557,False
sharp_tenengrad,0,0,0.00021037393889855593,1.331325888633728,0.206737844078707,0.1914137413618462,False
sharp_grad_mean,0,0,0.009649709798395634,1.0169779062271118,0.28162407494538155,0.15585014814736525,False
sharp_grad_p90,0,0,0.0,2.023529529571533,0.6459091659335212,0.34465394093415225,False
sharp_modified_laplacian,0,0,0.0023837219923734665,0.8784560561180115,0.12086234477503846,0.12373331130980739,False
sharp_highfreq_ratio,0,0,0.10917734102813843,0.867629273890652,0.48603338138689206,0.17841556329588948,False
sharp_edge_density,0,0,0.0,0.3839213053385417,0.12119514182761865,0.09324868582466875,False
expo_luma_mean,0,0,0.11224865168333054,0.9841354489326477,0.4369353377384444,0.16395051635752303,False
expo_luma_median,0,0,0.062745101749897,1.0,0.4285887900160419,0.1908257707842474,False
expo_dark_clip_ratio,0,0,0.0,0.2769978841145833,0.004556102046260128,0.017289918286412104,False
expo_bright_clip_ratio,0,0,0.0,0.861175537109375,0.03459714818883825,0.10399435357068834,False
expo_shadow_ratio,0,0,0.0,1.0,0.26796924732349536,0.22872641880406042,False
expo_highlight_ratio,0,0,0.0,0.996826171875,0.13962493896484374,0.19987723196872875,False
expo_hist_entropy,0,0,1.2081676721572876,7.952585697174072,6.94077250868082,0.7681523280208865,False
expo_skew,0,0,-7.964141368865967,11.33169174194336,0.2295268374615019,0.9012508579994463,False
contrast_std,0,0,0.01741456612944603,0.40335699915885925,0.1839519652387955,0.06283998375030239,False
contrast_dynamic_range,0,0,0.03529411554336548,0.9764705887064338,0.5795908847487428,0.18910454322472528,False
contrast_michelson,0,0,0.07142856648433846,0.9999999900000002,0.7810627392544012,0.15354957472763725,False
contrast_rms_coeff_var,0,0,0.038343597148424585,1.1317761197220395,0.45494472478274994,0.16671180898615814,False
contrast_local_std_mean,0,0,0.004747199360281229,0.2400193065404892,0.08007618265045392,0.0361203747291743,False
contrast_p95,0,0,0.16862745583057404,1.0,0.7414527618553903,0.19874406826247987,False
contrast_p5,0,0,0.0,0.9647058844566345,0.1618618771066475,0.12265171622003175,False
noise_immerkaer_sigma,0,0,0.02884804633718738,57.382303432440196,6.3488988151792825,8.510145465270805,False
noise_highfreq_residual_std,0,0,0.0008898290107026696,0.19428467750549316,0.03952893569124474,0.029502551290231983,False
noise_median_residual_mad,0,0,0.0,0.13725489377975464,0.01226851869115813,0.018951130365396363,False
noise_flat_region_std,0,0,0.0,0.24720242890444669,0.04637593004169714,0.04009328125012248,False
color_saturation_mean,0,0,0.0,0.8030452728271484,0.3460655333189708,0.14192935234402776,False
color_saturation_std,0,0,0.0,0.3878701627254486,0.1700858062800641,0.061718556196830296,False
color_colourfulness,0,0,0.0,149.78887939453125,37.8784935155842,17.904435358682036,False
color_cast,0,0,0.0,131.22401428222656,30.39358171886868,21.458470561683363,False
color_cast_ratio,0,0,0.0,1.3514659172151788,0.3074749608720989,0.21966533713345618,False
color_gray_pixel_ratio,0,0,0.0,1.0,0.18386046798140918,0.18694149996247475,False
color_channel_std_mean,0,0,0.018241815268993378,0.40845242142677307,0.18802283608561587,0.062415165089756426,False
texture_spectral_slope,0,0,-4.274106903677459,-0.19860411199708378,-2.4643032405738827,0.573778744418464,False
texture_glcm_contrast,0,0,0.0008571232017611222,6.174105380157937,0.4965971423108637,0.6567897103823331,False
texture_glcm_homogeneity,0,0,0.3775219006311731,0.9995714383991195,0.8573079027127872,0.10609174678948013,False
texture_glcm_energy,0,0,0.1363966679175695,0.9913257160469731,0.40955950921299306,0.12611158328089211,False
texture_lbp_entropy,0,0,0.24321951329038072,3.291734258293852,2.9600118084538916,0.35821375413563283,False
compress_blockiness,0,0,-0.38024149188142553,0.9998304321410745,0.061131763343648816,0.14804504780321825,False
compress_blockiness_h,0,0,-0.4177657202149282,0.9998260982866891,0.06573212101502322,0.15594193315078428,False
compress_blockiness_v,0,0,-0.3427172635479229,0.99983476599546,0.0565314056722744,0.1449118624125003,False
